_id,type,model
ObjectId(682dc988f29986dd1137d6ca),laptop,qw2
ObjectId(682dc988f29986dd1137d6cb),laptop,zeta
ObjectId(682dc988f29986dd1137d6cc),laptop,k12
ObjectId(682dc988f29986dd1137d6cd),laptop,j3
ObjectId(682dc988f29986dd1137d6ce),laptop,ay9
ObjectId(682dc988f29986dd1137d6cf),laptop,k12
ObjectId(682dc988f29986dd1137d6d0),laptop,zeta
ObjectId(682dc988f29986dd1137d6d1),laptop,kz
ObjectId(682dc988f29986dd1137d6d2),laptop,zeta
ObjectId(682dc988f29986dd1137d6d3),laptop,jl3
ObjectId(682dc988f29986dd1137d6d4),laptop,ay9
ObjectId(682dc988f29986dd1137d6d5),laptop,jl3
ObjectId(682dc988f29986dd1137d6d6),laptop,zeta
ObjectId(682dc988f29986dd1137d6d7),laptop,kz
ObjectId(682dc988f29986dd1137d6d8),laptop,qw2
ObjectId(682dc988f29986dd1137d6d9),laptop,k12
ObjectId(682dc988f29986dd1137d6da),laptop,ay9
ObjectId(682dc988f29986dd1137d6db),laptop,jl3
ObjectId(682dc988f29986dd1137d6dc),laptop,jl3
ObjectId(682dc988f29986dd1137d6dd),laptop,c6
ObjectId(682dc988f29986dd1137d6de),laptop,jl3
ObjectId(682dc988f29986dd1137d6df),laptop,qw2
ObjectId(682dc988f29986dd1137d6e0),laptop,ki2
ObjectId(682dc988f29986dd1137d6e1),laptop,k12
ObjectId(682dc988f29986dd1137d6e2),laptop,j3
ObjectId(682dc988f29986dd1137d6e3),laptop,k12
ObjectId(682dc988f29986dd1137d6e4),laptop,k12
ObjectId(682dc988f29986dd1137d6e5),laptop,k12
ObjectId(682dc988f29986dd1137d6e6),laptop,j3
ObjectId(682dc988f29986dd1137d6e7),laptop,qw2
ObjectId(682dc988f29986dd1137d6e8),laptop,qw2
ObjectId(682dc988f29986dd1137d6e9),laptop,jl3
ObjectId(682dc988f29986dd1137d6ea),laptop,c6
ObjectId(682dc988f29986dd1137d6eb),laptop,j3
ObjectId(682dc988f29986dd1137d6ec),laptop,kz
ObjectId(682dc988f29986dd1137d6ed),laptop,ki2
ObjectId(682dc988f29986dd1137d6ee),laptop,j3
ObjectId(682dc988f29986dd1137d6ef),laptop,kz
ObjectId(682dc988f29986dd1137d6f0),laptop,ay9
ObjectId(682dc988f29986dd1137d6f1),laptop,qw2
ObjectId(682dc988f29986dd1137d6f2),laptop,ay9
ObjectId(682dc988f29986dd1137d6f3),laptop,kz
ObjectId(682dc988f29986dd1137d6f4),laptop,j3
ObjectId(682dc988f29986dd1137d6f5),laptop,k12
ObjectId(682dc988f29986dd1137d6f6),laptop,c6
ObjectId(682dc988f29986dd1137d6f7),laptop,ki2
ObjectId(682dc988f29986dd1137d6f8),laptop,ay9
ObjectId(682dc988f29986dd1137d6f9),laptop,ki2
ObjectId(682dc988f29986dd1137d6fa),laptop,k12
ObjectId(682dc988f29986dd1137d6fb),laptop,qw2
ObjectId(682dc988f29986dd1137d6fc),laptop,ki2
ObjectId(682dc988f29986dd1137d6fd),laptop,qw2
ObjectId(682dc988f29986dd1137d6fe),laptop,ay9
ObjectId(682dc988f29986dd1137d6ff),laptop,zeta
ObjectId(682dc988f29986dd1137d700),laptop,kz
ObjectId(682dc988f29986dd1137d701),laptop,qw2
ObjectId(682dc988f29986dd1137d702),laptop,k12
ObjectId(682dc988f29986dd1137d703),laptop,k12
ObjectId(682dc988f29986dd1137d704),laptop,zeta
ObjectId(682dc988f29986dd1137d705),laptop,jl3
ObjectId(682dc988f29986dd1137d706),laptop,ay9
ObjectId(682dc988f29986dd1137d707),laptop,k12
ObjectId(682dc988f29986dd1137d708),laptop,kz
ObjectId(682dc988f29986dd1137d709),laptop,j3
ObjectId(682dc988f29986dd1137d70a),laptop,c6
ObjectId(682dc988f29986dd1137d70b),laptop,j3
ObjectId(682dc988f29986dd1137d70c),laptop,kz
ObjectId(682dc988f29986dd1137d70d),laptop,kz
ObjectId(682dc988f29986dd1137d70e),laptop,ay9
ObjectId(682dc988f29986dd1137d70f),laptop,ay9
ObjectId(682dc988f29986dd1137d710),laptop,c6
ObjectId(682dc988f29986dd1137d711),laptop,c6
ObjectId(682dc988f29986dd1137d712),laptop,ay9
ObjectId(682dc988f29986dd1137d713),laptop,k12
ObjectId(682dc988f29986dd1137d714),laptop,kz
ObjectId(682dc988f29986dd1137d715),laptop,c6
ObjectId(682dc988f29986dd1137d716),laptop,qw2
ObjectId(682dc988f29986dd1137d717),laptop,kz
ObjectId(682dc988f29986dd1137d718),laptop,k12
ObjectId(682dc988f29986dd1137d719),laptop,ay9
ObjectId(682dc988f29986dd1137d71a),laptop,ki2
ObjectId(682dc988f29986dd1137d71b),laptop,kz
ObjectId(682dc988f29986dd1137d71c),laptop,k12
ObjectId(682dc988f29986dd1137d71d),laptop,k12
ObjectId(682dc988f29986dd1137d71e),laptop,ay9
ObjectId(682dc988f29986dd1137d71f),laptop,kz
ObjectId(682dc988f29986dd1137d720),laptop,k12
ObjectId(682dc988f29986dd1137d721),laptop,j3
ObjectId(682dc988f29986dd1137d722),laptop,j3
ObjectId(682dc988f29986dd1137d723),laptop,c6
ObjectId(682dc988f29986dd1137d724),laptop,qw2
ObjectId(682dc988f29986dd1137d725),laptop,ki2
ObjectId(682dc988f29986dd1137d726),laptop,kz
ObjectId(682dc988f29986dd1137d727),laptop,ay9
ObjectId(682dc988f29986dd1137d728),laptop,ki2
ObjectId(682dc988f29986dd1137d729),laptop,ki2
ObjectId(682dc988f29986dd1137d72a),laptop,ki2
ObjectId(682dc988f29986dd1137d72b),laptop,k12
ObjectId(682dc988f29986dd1137d72c),laptop,zeta
ObjectId(682dc988f29986dd1137d72d),laptop,c6
ObjectId(682dc988f29986dd1137d72e),laptop,k12
ObjectId(682dc988f29986dd1137d72f),laptop,j3
ObjectId(682dc988f29986dd1137d730),laptop,kz
ObjectId(682dc988f29986dd1137d731),laptop,ki2
ObjectId(682dc988f29986dd1137d732),laptop,c6
ObjectId(682dc988f29986dd1137d733),laptop,kz
ObjectId(682dc988f29986dd1137d734),laptop,qw2
ObjectId(682dc988f29986dd1137d735),laptop,zeta
ObjectId(682dc988f29986dd1137d736),laptop,kz
ObjectId(682dc988f29986dd1137d737),laptop,qw2
ObjectId(682dc988f29986dd1137d738),laptop,c6
ObjectId(682dc988f29986dd1137d739),laptop,kz
ObjectId(682dc988f29986dd1137d73a),laptop,ay9
ObjectId(682dc988f29986dd1137d73b),laptop,ki2
ObjectId(682dc988f29986dd1137d73c),laptop,c6
ObjectId(682dc988f29986dd1137d73d),laptop,ay9
ObjectId(682dc988f29986dd1137d73e),laptop,zeta
ObjectId(682dc988f29986dd1137d73f),laptop,ki2
ObjectId(682dc988f29986dd1137d740),laptop,k12
ObjectId(682dc988f29986dd1137d741),laptop,ki2
ObjectId(682dc988f29986dd1137d742),laptop,ay9
ObjectId(682dc988f29986dd1137d743),laptop,qw2
ObjectId(682dc988f29986dd1137d744),laptop,jl3
ObjectId(682dc988f29986dd1137d745),laptop,jl3
ObjectId(682dc988f29986dd1137d746),laptop,k12
ObjectId(682dc988f29986dd1137d747),laptop,zeta
ObjectId(682dc988f29986dd1137d748),laptop,jl3
ObjectId(682dc988f29986dd1137d749),laptop,ki2
ObjectId(682dc988f29986dd1137d74a),laptop,qw2
ObjectId(682dc988f29986dd1137d74b),laptop,jl3
ObjectId(682dc988f29986dd1137d74c),laptop,ki2
ObjectId(682dc988f29986dd1137d74d),laptop,j3
ObjectId(682dc988f29986dd1137d74e),laptop,k12
ObjectId(682dc988f29986dd1137d74f),laptop,ki2
ObjectId(682dc988f29986dd1137d750),laptop,zeta
ObjectId(682dc988f29986dd1137d751),laptop,k12
ObjectId(682dc988f29986dd1137d752),laptop,zeta
ObjectId(682dc988f29986dd1137d753),laptop,ay9
ObjectId(682dc988f29986dd1137d754),laptop,k12
ObjectId(682dc988f29986dd1137d755),laptop,zeta
ObjectId(682dc988f29986dd1137d756),laptop,zeta
ObjectId(682dc988f29986dd1137d757),laptop,ay9
ObjectId(682dc988f29986dd1137d758),laptop,jl3
ObjectId(682dc988f29986dd1137d759),laptop,c6
ObjectId(682dc988f29986dd1137d75a),laptop,ay9
ObjectId(682dc988f29986dd1137d75b),laptop,ay9
ObjectId(682dc988f29986dd1137d75c),laptop,jl3
ObjectId(682dc988f29986dd1137d75d),laptop,kz
ObjectId(682dc988f29986dd1137d75e),laptop,k12
ObjectId(682dc988f29986dd1137d75f),laptop,ki2
ObjectId(682dc988f29986dd1137d760),laptop,jl3
ObjectId(682dc988f29986dd1137d761),laptop,qw2
ObjectId(682dc988f29986dd1137d762),laptop,ay9
ObjectId(682dc988f29986dd1137d763),laptop,jl3
ObjectId(682dc988f29986dd1137d764),laptop,j3
ObjectId(682dc988f29986dd1137d765),laptop,ay9
ObjectId(682dc988f29986dd1137d766),laptop,kz
ObjectId(682dc988f29986dd1137d767),laptop,zeta
ObjectId(682dc988f29986dd1137d768),laptop,ay9
ObjectId(682dc988f29986dd1137d769),laptop,ki2
ObjectId(682dc988f29986dd1137d76a),laptop,ki2
ObjectId(682dc988f29986dd1137d76b),laptop,qw2
ObjectId(682dc988f29986dd1137d76c),laptop,c6
ObjectId(682dc988f29986dd1137d76d),laptop,c6
ObjectId(682dc988f29986dd1137d76e),laptop,kz
ObjectId(682dc988f29986dd1137d76f),laptop,jl3
ObjectId(682dc988f29986dd1137d770),laptop,qw2
ObjectId(682dc988f29986dd1137d771),laptop,kz
ObjectId(682dc988f29986dd1137d772),laptop,kz
ObjectId(682dc988f29986dd1137d773),laptop,c6
ObjectId(682dc988f29986dd1137d774),laptop,ay9
ObjectId(682dc988f29986dd1137d775),laptop,j3
ObjectId(682dc988f29986dd1137d776),laptop,jl3
ObjectId(682dc988f29986dd1137d777),laptop,c6
ObjectId(682dc988f29986dd1137d778),laptop,k12
ObjectId(682dc988f29986dd1137d779),laptop,ki2
ObjectId(682dc988f29986dd1137d77a),laptop,ki2
ObjectId(682dc988f29986dd1137d77b),laptop,c6
ObjectId(682dc988f29986dd1137d77c),laptop,j3
ObjectId(682dc988f29986dd1137d77d),laptop,ki2
ObjectId(682dc988f29986dd1137d77e),laptop,jl3
ObjectId(682dc988f29986dd1137d77f),laptop,ay9
ObjectId(682dc988f29986dd1137d780),laptop,kz
ObjectId(682dc988f29986dd1137d781),laptop,kz
ObjectId(682dc988f29986dd1137d782),laptop,zeta
ObjectId(682dc988f29986dd1137d783),laptop,j3
ObjectId(682dc988f29986dd1137d784),laptop,c6
ObjectId(682dc988f29986dd1137d785),laptop,k12
ObjectId(682dc988f29986dd1137d786),laptop,qw2
ObjectId(682dc988f29986dd1137d787),laptop,k12
ObjectId(682dc988f29986dd1137d788),laptop,j3
ObjectId(682dc988f29986dd1137d789),laptop,zeta
ObjectId(682dc988f29986dd1137d78a),laptop,zeta
ObjectId(682dc988f29986dd1137d78b),laptop,ki2
ObjectId(682dc988f29986dd1137d78c),laptop,jl3
ObjectId(682dc988f29986dd1137d78d),laptop,kz
ObjectId(682dc988f29986dd1137d78e),laptop,zeta
ObjectId(682dc988f29986dd1137d78f),laptop,ay9
ObjectId(682dc988f29986dd1137d790),laptop,c6
ObjectId(682dc988f29986dd1137d791),laptop,kz
ObjectId(682dc988f29986dd1137d792),laptop,ay9
ObjectId(682dc988f29986dd1137d793),laptop,j3
ObjectId(682dc988f29986dd1137d794),laptop,j3
ObjectId(682dc988f29986dd1137d795),laptop,ay9
ObjectId(682dc988f29986dd1137d796),laptop,kz
ObjectId(682dc988f29986dd1137d797),laptop,c6
ObjectId(682dc988f29986dd1137d798),laptop,ki2
ObjectId(682dc988f29986dd1137d799),laptop,j3
ObjectId(682dc988f29986dd1137d79a),laptop,ay9
ObjectId(682dc988f29986dd1137d79b),laptop,j3
ObjectId(682dc988f29986dd1137d79c),laptop,jl3
ObjectId(682dc988f29986dd1137d79d),laptop,c6
ObjectId(682dc988f29986dd1137d79e),laptop,qw2
ObjectId(682dc988f29986dd1137d79f),laptop,ay9
ObjectId(682dc988f29986dd1137d7a0),laptop,j3
ObjectId(682dc988f29986dd1137d7a1),laptop,c6
ObjectId(682dc988f29986dd1137d7a2),laptop,kz
ObjectId(682dc988f29986dd1137d7a3),laptop,jl3
ObjectId(682dc988f29986dd1137d7a4),laptop,jl3
ObjectId(682dc988f29986dd1137d7a5),laptop,c6
ObjectId(682dc988f29986dd1137d7a6),laptop,jl3
ObjectId(682dc988f29986dd1137d7a7),laptop,k12
ObjectId(682dc988f29986dd1137d7a8),laptop,jl3
ObjectId(682dc988f29986dd1137d7a9),laptop,ki2
ObjectId(682dc988f29986dd1137d7aa),laptop,qw2
ObjectId(682dc988f29986dd1137d7ab),laptop,ki2
ObjectId(682dc988f29986dd1137d7ac),laptop,j3
ObjectId(682dc988f29986dd1137d7ad),laptop,zeta
ObjectId(682dc988f29986dd1137d7ae),laptop,zeta
ObjectId(682dc988f29986dd1137d7af),laptop,kz
ObjectId(682dc988f29986dd1137d7b0),laptop,kz
ObjectId(682dc988f29986dd1137d7b1),laptop,c6
ObjectId(682dc988f29986dd1137d7b2),laptop,c6
ObjectId(682dc988f29986dd1137d7b3),laptop,k12
ObjectId(682dc988f29986dd1137d7b4),laptop,ki2
ObjectId(682dc988f29986dd1137d7b5),laptop,ay9
ObjectId(682dc988f29986dd1137d7b6),laptop,ki2
ObjectId(682dc988f29986dd1137d7b7),laptop,j3
ObjectId(682dc988f29986dd1137d7b8),laptop,c6
ObjectId(682dc988f29986dd1137d7b9),laptop,k12
ObjectId(682dc988f29986dd1137d7ba),laptop,kz
ObjectId(682dc988f29986dd1137d7bb),laptop,jl3
ObjectId(682dc988f29986dd1137d7bc),laptop,kz
ObjectId(682dc988f29986dd1137d7bd),laptop,k12
ObjectId(682dc988f29986dd1137d7be),laptop,zeta
ObjectId(682dc988f29986dd1137d7bf),laptop,ki2
ObjectId(682dc988f29986dd1137d7c0),laptop,qw2
ObjectId(682dc988f29986dd1137d7c1),laptop,kz
ObjectId(682dc988f29986dd1137d7c2),laptop,qw2
ObjectId(682dc988f29986dd1137d7c3),laptop,qw2
ObjectId(682dc988f29986dd1137d7c4),laptop,ki2
ObjectId(682dc988f29986dd1137d7c5),laptop,qw2
ObjectId(682dc988f29986dd1137d7c6),laptop,jl3
ObjectId(682dc988f29986dd1137d7c7),laptop,zeta
ObjectId(682dc988f29986dd1137d7c8),laptop,k12
ObjectId(682dc988f29986dd1137d7c9),laptop,c6
ObjectId(682dc988f29986dd1137d7ca),laptop,j3
ObjectId(682dc988f29986dd1137d7cb),laptop,kz
ObjectId(682dc988f29986dd1137d7cc),laptop,jl3
ObjectId(682dc988f29986dd1137d7cd),laptop,qw2
ObjectId(682dc988f29986dd1137d7ce),laptop,c6
ObjectId(682dc988f29986dd1137d7cf),laptop,j3
ObjectId(682dc988f29986dd1137d7d0),laptop,zeta
ObjectId(682dc988f29986dd1137d7d1),laptop,ay9
ObjectId(682dc988f29986dd1137d7d2),laptop,j3
ObjectId(682dc988f29986dd1137d7d3),laptop,zeta
ObjectId(682dc988f29986dd1137d7d4),laptop,ki2
ObjectId(682dc988f29986dd1137d7d5),laptop,c6
ObjectId(682dc988f29986dd1137d7d6),laptop,k12
ObjectId(682dc988f29986dd1137d7d7),laptop,ay9
ObjectId(682dc988f29986dd1137d7d8),laptop,ki2
ObjectId(682dc988f29986dd1137d7d9),laptop,c6
ObjectId(682dc988f29986dd1137d7da),laptop,jl3
ObjectId(682dc988f29986dd1137d7db),laptop,ay9
ObjectId(682dc988f29986dd1137d7dc),laptop,c6
ObjectId(682dc988f29986dd1137d7dd),laptop,j3
ObjectId(682dc988f29986dd1137d7de),laptop,qw2
ObjectId(682dc988f29986dd1137d7df),laptop,jl3
ObjectId(682dc988f29986dd1137d7e0),laptop,j3
ObjectId(682dc988f29986dd1137d7e1),laptop,ki2
ObjectId(682dc988f29986dd1137d7e2),laptop,c6
ObjectId(682dc988f29986dd1137d7e3),laptop,qw2
ObjectId(682dc988f29986dd1137d7e4),laptop,k12
ObjectId(682dc988f29986dd1137d7e5),laptop,jl3
ObjectId(682dc988f29986dd1137d7e6),laptop,ki2
ObjectId(682dc988f29986dd1137d7e7),laptop,jl3
ObjectId(682dc988f29986dd1137d7e8),laptop,k12
ObjectId(682dc988f29986dd1137d7e9),laptop,ki2
ObjectId(682dc988f29986dd1137d7ea),laptop,j3
ObjectId(682dc988f29986dd1137d7eb),laptop,ay9
ObjectId(682dc988f29986dd1137d7ec),laptop,jl3
ObjectId(682dc988f29986dd1137d7ed),laptop,k12
ObjectId(682dc988f29986dd1137d7ee),laptop,qw2
ObjectId(682dc988f29986dd1137d7ef),laptop,k12
ObjectId(682dc988f29986dd1137d7f0),laptop,qw2
ObjectId(682dc988f29986dd1137d7f1),laptop,jl3
ObjectId(682dc988f29986dd1137d7f2),laptop,c6
ObjectId(682dc988f29986dd1137d7f3),laptop,j3
ObjectId(682dc988f29986dd1137d7f4),laptop,ay9
ObjectId(682dc988f29986dd1137d7f5),laptop,jl3
ObjectId(682dc988f29986dd1137d7f6),laptop,kz
ObjectId(682dc988f29986dd1137d7f7),laptop,qw2
ObjectId(682dc988f29986dd1137d7f8),laptop,jl3
ObjectId(682dc988f29986dd1137d7f9),laptop,zeta
ObjectId(682dc988f29986dd1137d7fa),laptop,jl3
ObjectId(682dc988f29986dd1137d7fb),laptop,qw2
ObjectId(682dc988f29986dd1137d7fc),laptop,zeta
ObjectId(682dc988f29986dd1137d7fd),laptop,zeta
ObjectId(682dc988f29986dd1137d7fe),laptop,c6
ObjectId(682dc988f29986dd1137d7ff),laptop,kz
ObjectId(682dc988f29986dd1137d800),laptop,j3
ObjectId(682dc988f29986dd1137d801),laptop,j3
ObjectId(682dc988f29986dd1137d802),laptop,j3
ObjectId(682dc988f29986dd1137d803),laptop,zeta
ObjectId(682dc988f29986dd1137d804),laptop,zeta
ObjectId(682dc988f29986dd1137d805),laptop,zeta
ObjectId(682dc988f29986dd1137d806),laptop,zeta
ObjectId(682dc988f29986dd1137d807),laptop,qw2
ObjectId(682dc988f29986dd1137d808),laptop,jl3
ObjectId(682dc988f29986dd1137d809),laptop,j3
ObjectId(682dc988f29986dd1137d80a),laptop,k12
ObjectId(682dc988f29986dd1137d80b),laptop,zeta
ObjectId(682dc988f29986dd1137d80c),laptop,zeta
ObjectId(682dc988f29986dd1137d80d),laptop,ki2
ObjectId(682dc988f29986dd1137d80e),laptop,c6
ObjectId(682dc988f29986dd1137d80f),laptop,qw2
ObjectId(682dc988f29986dd1137d810),laptop,jl3
ObjectId(682dc988f29986dd1137d811),laptop,c6
ObjectId(682dc988f29986dd1137d812),laptop,ay9
ObjectId(682dc988f29986dd1137d813),laptop,ki2
ObjectId(682dc988f29986dd1137d814),laptop,ay9
ObjectId(682dc988f29986dd1137d815),laptop,k12
ObjectId(682dc988f29986dd1137d816),laptop,j3
ObjectId(682dc988f29986dd1137d817),laptop,qw2
ObjectId(682dc988f29986dd1137d818),laptop,jl3
ObjectId(682dc988f29986dd1137d819),laptop,kz
ObjectId(682dc988f29986dd1137d81a),laptop,qw2
ObjectId(682dc988f29986dd1137d81b),laptop,j3
ObjectId(682dc988f29986dd1137d81c),laptop,j3
ObjectId(682dc988f29986dd1137d81d),laptop,zeta
ObjectId(682dc988f29986dd1137d81e),laptop,kz
ObjectId(682dc988f29986dd1137d81f),laptop,kz
ObjectId(682dc988f29986dd1137d820),laptop,qw2
ObjectId(682dc988f29986dd1137d821),laptop,zeta
ObjectId(682dc988f29986dd1137d822),laptop,qw2
ObjectId(682dc988f29986dd1137d823),laptop,j3
ObjectId(682dc988f29986dd1137d824),laptop,ay9
ObjectId(682dc988f29986dd1137d825),laptop,zeta
ObjectId(682dc988f29986dd1137d826),laptop,c6
ObjectId(682dc988f29986dd1137d827),laptop,j3
ObjectId(682dc988f29986dd1137d828),laptop,j3
ObjectId(682dc988f29986dd1137d829),television,jk23
ObjectId(682dc988f29986dd1137d82a),television,boom
ObjectId(682dc988f29986dd1137d82b),television,jk23
ObjectId(682dc988f29986dd1137d82c),television,k20
ObjectId(682dc988f29986dd1137d82d),television,ss2
ObjectId(682dc988f29986dd1137d82e),television,k20
ObjectId(682dc988f29986dd1137d82f),television,ss2
ObjectId(682dc988f29986dd1137d830),television,jk23
ObjectId(682dc988f29986dd1137d831),television,boom
ObjectId(682dc988f29986dd1137d832),television,jk23
ObjectId(682dc988f29986dd1137d833),laptop,j3
ObjectId(682dc988f29986dd1137d834),television,ss2
ObjectId(682dc988f29986dd1137d835),laptop,jl3
ObjectId(682dc988f29986dd1137d836),television,boom
ObjectId(682dc988f29986dd1137d837),television,boom
ObjectId(682dc988f29986dd1137d838),television,k20
ObjectId(682dc988f29986dd1137d839),television,k20
ObjectId(682dc988f29986dd1137d83a),television,boom
ObjectId(682dc988f29986dd1137d83b),television,ss2
ObjectId(682dc988f29986dd1137d83c),television,dj1
ObjectId(682dc988f29986dd1137d83d),television,dj1
ObjectId(682dc988f29986dd1137d83e),television,dj1
ObjectId(682dc988f29986dd1137d83f),television,k20
ObjectId(682dc988f29986dd1137d840),laptop,ay9
ObjectId(682dc988f29986dd1137d841),laptop,c6
ObjectId(682dc988f29986dd1137d842),television,dj1
ObjectId(682dc988f29986dd1137d843),television,ss2
ObjectId(682dc988f29986dd1137d844),television,dj1
ObjectId(682dc988f29986dd1137d845),television,jk23
ObjectId(682dc988f29986dd1137d846),laptop,k12
ObjectId(682dc988f29986dd1137d847),laptop,ki2
ObjectId(682dc988f29986dd1137d848),laptop,zeta
ObjectId(682dc988f29986dd1137d849),laptop,k12
ObjectId(682dc988f29986dd1137d84a),laptop,c6
ObjectId(682dc988f29986dd1137d84b),laptop,ki2
ObjectId(682dc988f29986dd1137d84c),laptop,jl3
